Month,Occurrence
01/2020,18430
02/2020,17237
03/2020,16136
04/2020,15651
05/2020,17174
06/2020,16989
07/2020,17077
08/2020,16833
09/2020,15599
10/2020,16464
11/2020,15545
12/2020,15922
01/2021,16469
02/2021,15387
03/2021,16278
04/2021,16020
05/2021,16939
06/2021,17115
07/2021,18611
08/2021,18334
09/2021,18304
10/2021,19257
11/2021,18292
12/2021,17882
01/2022,18340
02/2022,17615
03/2022,19622
04/2022,19654
05/2022,20317
06/2022,20073
07/2022,19814
08/2022,19905
09/2022,19105
10/2022,20025
11/2022,18415
12/2022,19558
01/2023,18989
02/2023,17364
03/2023,13713
